id,Topo,X,Y,Z,diameter,code1,code2,code3
689,/S4,126.68,28.6,20.28,0.5,br,,
690,/S5,129.27,31.62,18.25,0.5,br,,
691,/S6,130.91,33.53,16.75,0.6,br,,
692,/S7,132.32,34.93,15.33,0.8,br,12,12 leaves
693,/S8,132.95,35.5,14.83,0.7,br,,
694,/S9,133.64,36.24,13.81,0.6,apbud,,ap bud
695,/S10,135.48,38.47,9.9,0.1,apbud,,app bud
696,*^/A1/S1,120.05,24.15,25.57,1.2,br,,
697,/S2,119.32,23.51,25.26,0.6,br,,
698,/S3,116.96,22.1,23.22,0.5,br,,
699,/S4,114.09,20.19,20.74,0.5,br,,
700,/S5,110.13,17.82,17.24,0.5,br,,
701,/S6,107.33,16.44,14.43,0.5,br,,
702,/S7,105.6,14.87,12.11,0.7,br,10,10 leaves
703,/S8,104.86,14.67,11.53,0.7,br,,
704,/S9,104.11,14.37,10.58,0.7,apbud,,ap bud
705,/S10,101.65,14.19,7.4,0.1,apbud,,ap bud
706,*^/A1/S1,120.08,23.68,25.97,1.3,br,,
707,/S2,118.06,23.93,25.98,0.6,br,,
708,/S3,115.22,24.86,25.43,0.5,br,,
709,/S4,112.68,25.38,25.05,0.5,br,,
710,/S5,111.16,26.13,23.81,0.5,br,,
711,/S6,106.59,27.65,21.17,0.6,br,,
712,/S7,104.37,28.56,20.25,0.7,br,12,12 leaves
713,/S8,103.36,28.92,19.84,0.7,br,,
714,/S9,101.96,29.39,19.24,0.6,apbud,,app bud
715,/S10,100.33,29.61,17.32,0.3,apbud,,app bud
716,/S11,98.88,29.23,14.65,0.1,apbud,,ap bud
717,*^/A1/S1,121.0804656,3.781793797,-6.640754199,1.7,br,,
718,/S2,119.8904656,3.621793797,-7.190754199,0.8,br,,
719,/S3,117.7904656,2.471793797,-8.760754199,0.9,br,,
720,/S4,115.2804656,1.081793797,-10.8107542,0.8,br,,
721,/S5,112.8004656,0.051793797,-12.4107542,0.7,br,,
722,/S6,109.6504656,-2.718206203,-16.1807542,0.6,br,,
723,/S7,105.7004656,-5.938206203,-20.1707542,0.7,br,,
724,/S8,105.0504656,-7.298206203,-21.2607542,0.8,br,12,12 leaves
725,/S9,104.3904656,-7.578206203,-22.8307542,0.6,br,,
726,/S10,103.8804656,-8.248206203,-24.3407542,0.6,apbud,,ap bud
727,/S11,103.2404656,-9.088206203,-26.6707542,0.5,apbud,,ap bud
728,/S12,103.4704656,-10.5782062,-30.1207542,0.1,apbud,,ap bud
729,*^/A1/S1,104.8038397,-7.385291642,-21.3375437,0.8,br,,
730,/S2,103.8638397,-7.865291642,-20.9975437,0.5,br,,
731,/S3,102.3238397,-8.505291642,-21.4175437,0.4,br,,
732,/S4,100.5538397,-8.885291642,-22.2975437,0.4,br,,
733,/S5,98.71383974,-9.535291642,-24.3175437,0.4,br,,
734,/S6,96.07383974,-10.17529164,-26.3075437,0.4,br,,
735,/S7,93.95383974,-10.41529164,-28.1875437,0.4,br,10,10 leaves
736,/S8,91.41383974,-11.28529164,-31.0275437,0.5,apbud,,ap bud
737,/S9,88.64383974,-11.01529164,-35.3075437,0.1,apbud,,ap bud
738,*^/A1/S1,121.2958342,3.998852377,-6.77315033,1.8,br,,
739,/S2,119.7658342,5.388852377,-6.78315033,0.8,br,,
740,/S3,116.2858342,6.988852377,-9.21315033,0.7,br,,
741,/S4,112.4558342,8.068852377,-12.54315033,0.6,br,,
742,/S5,108.3958342,9.068852377,-16.12315033,0.7,br,,
743,/S6,105.0958342,9.888852377,-19.88315033,0.8,br,,
744,/S7,103.8758342,9.978852377,-21.35315033,0.7,br,10,10 leaves
745,/S8,103.6058342,10.75885238,-22.30315033,0.8,br,,
746,/S9,102.4658342,10.65885238,-25.28315033,0.7,apbud,,ap bud
747,/S10,102.0258342,11.27885238,-27.99315033,0.5,apbud,,app bud
748,/S11,102.3058342,11.99885238,-31.92315033,0.1,apbud,,ap bud
749,*^/A1/S1,103.7096201,10.08012108,-21.30853456,1,br,,
750,/S2,102.5996201,10.71012108,-20.91853456,0.5,br,,
751,/S3,100.9996201,11.35012108,-21.35853456,0.5,br,,
752,/S4,98.9496201,12.70012108,-22.45853456,0.4,br,,
753,/S5,96.3796201,14.02012108,-24.06853456,0.6,br,10,10 leaves
754,/S6,95.0396201,14.48012108,-25.15853456,0.6,br,,
755,/S7,93.7096201,15.17012108,-26.57853456,0.7,apbud,,ap bud
756,/S8,92.5996201,16.09012108,-29.47853456,0.4,apbud,,ap bud
757,/S9,91.7296201,17.71012108,-32.49853456,0.1,apbud,,ap bud
758,*^/A1/S1,103.8693406,9.818843149,-21.52800941,0.8,br,,
759,/S2,103.8493406,9.198843149,-22.13800941,0.4,br,,
760,/S3,103.6293406,7.748843149,-23.52800941,0.4,br,,
761,/S4,103.5293406,6.518843149,-25.52800941,0.3,br,,
762,/S5,103.6293406,5.538843149,-27.36800941,0.4,br,,
763,/S6,103.0993406,3.528843149,-31.46800941,0.4,br,6,6 leaves
764,/S7,102.6193406,2.298843149,-34.39800941,0.4,apbud,,ap bud
765,/S8,102.4693406,1.768843149,-37.05800941,0.3,apbud,,app bud
766,/S9,102.7593406,1.898843149,-40.36800941,0.1,apbud,,ap bud
767,*^/A1/S1,93.63583421,15.23885238,-26.49315033,0.6,br,,
768,/S2,93.55583421,16.36885238,-26.18315033,0.3,br,,
769,/S3,92.65583421,18.23885238,-26.20315033,0.3,br,,
770,/S4,91.67583421,20.12885238,-27.11315033,0.3,apbud,2,ap bud 2 leaves
771,/S5,90.60583421,22.02885238,-27.04315033,0.3,apbud,,ap bud
772,/S6,89.75583421,24.80885238,-27.00315033,0.1,apbud,,ap bud
773,*^/A1/S1,119.917285,1.287064878,-34.9743814,0.8,br,,
774,/S2,119.087285,0.697064878,-35.4143814,0.5,br,,
775,/S3,117.947285,0.217064878,-36.1943814,0.4,br,,
776,/S4,117.007285,-0.402935122,-37.2543814,0.4,br,,
777,/S5,115.967285,-1.472935122,-39.0043814,0.4,br,,
778,/S6,114.717285,-2.352935122,-40.9743814,0.4,br,,
779,/S7,114.057285,-3.412935122,-42.6643814,0.5,br,8,8 leaves
780,/S8,112.907285,-4.072935122,-45.6943814,0.4,br,,
781,/S9,112.227285,-5.422935122,-48.8843814,0.6,apbud,,ap bud
782,/S10,111.397285,-5.832935122,-51.5143814,0.4,apbud,,ap bud
783,/S11,110.737285,-5.702935122,-54.8443814,0.1,apbud,,ap bud
784,*^/A1/S1,120.1298535,1.181279562,-34.83121065,0.9,br,,
785,/S2,120.5098535,0.771279562,-35.49121065,0.5,br,,
787,/S4,121.4598535,0.391279562,-36.08121065,0.4,br,,
788,/S5,121.8298535,0.351279562,-36.80121065,0.3,br,,
789,/S6,123.8998535,2.381279562,-40.66121065,0.3,br,,
790,/S7,124.7798535,3.481279562,-42.46121065,0.4,br,6,6 leaves
791,/S8,125.9398535,4.751279562,-45.83121065,0.5,apbud,,ap bud
792,/S9,127.0398535,5.701279562,-48.53121065,0.5,apbud,,ap bud
793,/S10,128.2998535,7.101279562,-51.52121065,0.1,apbud,,ap bud
794,*^/A1/S1,120.1426209,1.410098559,-34.81204977,0.8,br,,
795,/S2,120.9126209,2.090098559,-35.15204977,0.4,br,,
796,/S3,122.5626209,3.720098559,-36.57204977,0.4,br,,
797,/S4,124.3826209,5.280098559,-38.45204977,0.3,br,,
798,/S5,127.3026209,7.900098559,-41.22204977,0.4,br,,
799,/S6,128.7126209,10.17009856,-43.74204977,0.4,br,6,6 leaves
800,/S7,130.2126209,11.81009856,-46.61204977,0.6,apbud,,ap bud
801,/S8,131.8926209,14.37009856,-48.84204977,0.4,apbud,,ap bud
802,/S9,132.5226209,16.57009856,-50.88204977,0.1,apbud,,ap bud
